id;clusters
122.0;3
91.0;2
75.0;1
99.0;2
109.0;0
149.0;0
139.0;0
24.0;3
117.0;3
73.0;1
1101.0;2
23.0;2
54.0;1
93.0;3
31.0;2
97.0;3
147.0;0
77.0;1
119.0;3
67.0;1
39.0;2
55.0;1
35.0;2
150.0;0
80.0;1
78.0;1
65.0;1
44.0;2
56.0;1
50.0;1
95.0;3
133.0;0
68.0;1
134.0;0
52.0;1
47.0;2
140.0;0
16.0;2
59.0;1
18.0;3
43.0;2
9.0;2
5.0;2
4.0;2
11.0;2
85.0;1
138.0;0
143.0;0
72.0;1
145.0;0
121.0;3
40.0;2
27.0;3
136.0;0
49.0;1
21.0;2
29.0;2
63.0;1
26.0;2
82.0;1
74.0;1
15.0;2
141.0;0
130.0;2
48.0;1
53.0;1
125.0;3
70.0;1
87.0;1
12.0;2
69.0;1
113.0;3
112.0;0
127.0;3
110.0;0
90.0;2
132.0;0
96.0;3
2.0;2
62.0;1
123.0;2
103.0;0
28.0;2
60.0;1
124.0;3
25.0;2
114.0;3
76.0;1
115.0;0
30.0;2
64.0;1
92.0;2
118.0;3
71.0;1
135.0;0
108.0;0
111.0;0
46.0;2
17.0;2
107.0;0
3.0;2
89.0;2
33.0;2
37.0;2
120.0;3
83.0;1
20.0;3
84.0;1
129.0;2
126.0;0
105.0;0
102.0;3
94.0;3
106.0;0
100.0;3
61.0;1
51.0;1
66.0;1
144.0;0
146.0;0
42.0;2
10.0;2
6.0;2
142.0;0
101.0;3
131.0;2
99.0;3
58.0;1
57.0;1
86.0;1
41.0;2
81.0;1
104.0;0
34.0;2
128.0;0
13.0;2
36.0;2
137.0;0
38.0;2
14.0;2
45.0;2
1.0;2
116.0;3
